#TYPE System.Management.Automation.PSCustomObject
"FolderName","AD Group or User","Permissions","Acces Control","Inherited"
"C:\unit7asiggment\entiry_compary\key_Account_RB\confidential.xml","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\confidential.xml","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\confidential.xml","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\confidential.xml","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document (3).txt","DESKTOP-J3JNGH0\Miriam_RB","ReadAndExecute","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document (3).txt","DESKTOP-J3JNGH0\training.department","Write","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document (3).txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document (3).txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document (3).txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document (3).txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4 - Copy.txt","DESKTOP-J3JNGH0\Miriam_RB","ReadAndExecute","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4 - Copy.txt","DESKTOP-J3JNGH0\training.department","Write","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4 - Copy.txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4 - Copy.txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4 - Copy.txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4 - Copy.txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4.txt","DESKTOP-J3JNGH0\Miriam_RB","ReadAndExecute","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4.txt","DESKTOP-J3JNGH0\training.department","Write","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4.txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4.txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4.txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\New Text Document4.txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\Sales_Department_RB\new","DESKTOP-J3JNGH0\sales.department","WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\Sales_Department_RB\new","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\Sales_Department_RB\new","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\Miriam_RB\miriam","DESKTOP-J3JNGH0\None","Modify, Synchronize","Allow","True"
"C:\unit7asiggment\Miriam_RB\miriam","CREATOR GROUP","Modify, Synchronize","Allow","True"
"C:\unit7asiggment\Miriam_RB\miriam","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\Miriam_RB\miriam","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\Miriam_RB\miriam","DESKTOP-J3JNGH0\Miriam_RB","Write, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\Sofia_RB\sofia","DESKTOP-J3JNGH0\None","Modify, Synchronize","Allow","True"
"C:\unit7asiggment\Sofia_RB\sofia","CREATOR GROUP","Modify, Synchronize","Allow","True"
"C:\unit7asiggment\Sofia_RB\sofia","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\Sofia_RB\sofia","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\Sofia_RB\sofia","DESKTOP-J3JNGH0\Sofia_RB","Write, ReadAndExecute, Synchronize","Allow","True"
